Player Name,Shootscore,Year,Shootscore Index
Ben Wallace,-17.77273469264558,2008,-1.2039845661764048
Jerami Grant,-12.678886541435862,2016,-1.1342049289244365
Jan Veselý,-9.73411375283393,2012,-1.1329813594167404
Ben Wallace,-14.348571003636517,2004,-1.1265637945966427
Thomas Robinson,-11.180328441888484,2016,-1.1036441519066218
Javaris Crittenton,-12.535543235598634,2009,-1.1012198181361204
Ben Wallace,-12.42588891907053,2005,-1.0982270386257538
Draymond Green,-9.317621933207104,2013,-1.0822331612177043
Anderson Varejão,-12.179295369301508,2007,-1.079235212727297
Jared Jeffries,-7.4310031970036725,2011,-1.075787461181854
Hedo Türkoğlu,-8.25287869039477,2013,-1.0596644650283131
Marquis Daniels,-6.476569236076085,2012,-1.0480493989339927
Joffrey Lauvergne,-6.323925021028425,2015,-1.041818496512361
Avery Bradley,-5.788208286355381,2011,-1.0393898066965863
Rudy Gobert,-6.195554293585536,2015,-1.0390567608104428
Renaldo Balkman,-9.990263441035793,2007,-1.0309588355832218
Tony Wroten,-7.890966656660055,2014,-1.0296883769280427
Michael Ruffin,-9.045659002435057,2005,-1.025226384357731
Brandon Rush,-5.331460214771486,2015,-1.0204668570620306
Michael Carter-Williams,-9.07673717673524,2018,-1.0189718056005441
Dale Davis,-8.512165226097602,2005,-1.0137048619521436
Shannon Brown,-7.051592383567819,2014,-1.0120682190930679
Eddie Griffin,-13.06604498074783,2006,-1.0115859718086326
Renaldo Balkman,-8.826779626827793,2008,-1.0112817833616623
Earl Barron,-4.337881995878309,2011,-1.007256474124444
Terrel Harris,-5.668055727974733,2013,-1.0048755903056754
Reggie Evans,-4.535352031923995,2015,-1.003339584864112
Greg Monroe,-3.8812775562955357,2011,-0.997139976611182
Reggie Evans,-3.77805816738251,2011,-0.9948530547139415
Shawne Williams,-7.605608784596498,2009,-0.9925126141744082
Gal Mekel,-4.028203204705707,2015,-0.9924289119232124
Lou Amundson,-5.080185733009358,2013,-0.9924148779181625
Maurice Harkless,-4.026444079693611,2015,-0.9923910665479714
Kendall Gill,-9.429507424551055,2001,-0.9923291011343233
Luke Babbitt,-3.6358629567332827,2011,-0.9917025871095416
Earl Watson,-5.027841600187564,2013,-0.9913053720922961
Jared Jeffries,-7.590228836966894,2004,-0.989975410170803
Archie Goodwin,-5.596341570243588,2016,-0.9897673674787854
Dahntay Jones,-3.8809269588890123,2015,-0.9892604476306235
Kedrick Brown,-9.840562071755361,2003,-0.9885850192106911
Jarron Collins,-3.398696169390685,2011,-0.986447935585408
Dominic McGuire,-7.642789412060381,2008,-0.9857777195101805
Maalik Wayns,-4.7610002653433,2013,-0.9856493033099621
Ömer Aşık,-3.694525278860399,2015,-0.9852502485386101
Michael Ruffin,-7.3538017007339445,2004,-0.9851971376631239
Tyrus Thomas,-7.906538163798503,2007,-0.9850048656800748
Rudy Gobert,-5.272106966340378,2016,-0.9831551037071382
Josh Childress,-3.979096327157152,2012,-0.9829343193653641
Richaun Holmes,-5.1639987192045,2016,-0.9809504030448788
Lou Amundson,-3.10152425008543,2011,-0.9798638143591449
Joakim Noah,-7.366482993300882,2008,-0.9798258658050374
Elijah Millsap,-5.077893562633598,2016,-0.9791944214177118
Andrei Kirilenko,-7.624938580363153,2007,-0.9787945370329684
Solomon Alabi,-3.0305696607853267,2011,-0.9782917492104465
Chris Andersen,-9.284490083651166,2003,-0.9780558783205588
Jahidi White,-9.370199409437456,2002,-0.9776638460601756
Earl Clark,-2.983953965825232,2011,-0.977258934981628
Malcolm Thomas,-3.3202836221681524,2015,-0.9771989072007508
Luc Mbah,-3.702968400164078,2012,-0.9757350052614696
Ime Udoka,-2.863973585705973,2011,-0.9746006576809828
Jason Collins,-6.786375976531412,2009,-0.9744481735933869
James Johnson,-2.83064040846506,2011,-0.9738621300289632
Jared Jeffries,-4.19126674730627,2013,-0.9735730184738846
Britton Johnsen,-6.690030117542825,2004,-0.9717820891290343
Reggie Evans,-6.683574119525254,2004,-0.9716516112222741
Larry Drew,-3.022736215896698,2015,-0.9707975467716089
Samardo Samuels,-2.6891839559837942,2011,-0.9707280303012662
Shavlik Randolph,-2.998500833624173,2015,-0.9702761528229655
Bismack Biyombo,-2.965325345508069,2015,-0.9695624236747096
Jamaal Magloire,-3.4531387781551244,2012,-0.9692213507358816
Earl Barron,-7.134507850450334,2007,-0.96797869712922
Josh Smith,-6.366457659981355,2005,-0.9673653939107972
Antoine Wright,-2.499342649791873,2011,-0.9665219189814552
Furkan Aldemir,-2.8068674583869293,2015,-0.9661534003496087
Tyson Chandler,-4.410231153520003,2016,-0.9655784781891773
Jason Kapono,-2.4510161431378585,2011,-0.9654512001228372
Dominique Jones,-3.293151077536924,2012,-0.965050089530784
Jared Jeffries,-6.272998085509504,2009,-0.9631279672775793
Nenê Hilário,-6.160530982860563,2005,-0.9629181277390273
Chris Johnson,-2.274724086109895,2011,-0.9615452850639278
Kelvin Cato,-6.168385389736857,2004,-0.9612394724845762
Jamaal Magloire,-6.180832045353447,2009,-0.9610956659102555
Lou Amundson,-4.178936839503751,2016,-0.960861588027712
Jerryd Bayless,-6.162562376471824,2009,-0.9606928117463379
Ben Wallace,-10.527840524148601,2006,-0.9602709426872105
Andre Roberson,-4.583975635900455,2014,-0.9602679698312608
Justin Harper,-3.1012452557576946,2012,-0.9600466467265749
Nerlens Noel,-4.1206742959070635,2016,-0.9596734134725268
Nazr Mohammed,-3.531192891445447,2013,-0.9595818460329728
Glen Rice,-2.456172102463115,2015,-0.958608628233375
Chris Douglas-Roberts,-2.456172102463115,2015,-0.958608628233375
Ben Wallace,-2.099046724756449,2011,-0.9576529891613901
Sherron Collins,-2.04114751534659,2011,-0.9563701781389
Jared Jeffries,-6.277158245185124,2008,-0.9563609692337414
Solomon Alabi,-2.958622436970643,2012,-0.9563281294363749
Clint Capela,-2.349322743718968,2015,-0.95630989787133
Tony Wroten,-3.935177338247306,2016,-0.9558904896324467
DeShawn Stevenson,-7.544651766882373,2001,-0.955876359457854
Antawn Jamison,-4.3552400657261785,2014,-0.9554663491738921
Francisco García,-2.3053074894462853,2015,-0.9553629647069295
Kris Joseph,-3.3298996778149803,2013,-0.9553151597552436
Anthony Bennett,-4.326936683908318,2014,-0.9548722041412394
Kevin Murphy,-3.2941406608052124,2013,-0.9545571982500894
Brandon Roy,-3.284921629029911,2013,-0.9543617882029239
Perry Jones,-3.277031547268354,2013,-0.9541945470775277
Jeff Adrien,-1.9070031844042186,2011,-0.9533980852883864
Lorenzo Brown,-4.242713792184498,2014,-0.9531041958842973
Timofey Mozgov,-1.8887438696376018,2011,-0.9529935331280983
Marcus Camby,-1.8233387479660133,2011,-0.9515444216140932
Josh Childress,-3.1401399096990907,2013,-0.9512929407043249
Darko Miličić,-5.598727547789904,2005,-0.9507852198180766
Patrick Ewing,-1.7201101014924132,2011,-0.9492572946069582
Joel Przybilla,-2.6783493585259546,2012,-0.9490207413407139
Diante Garrett,-2.998324376566387,2013,-0.9482869655982938
Craig Brackins,-1.6686647925669267,2011,-0.9481174757732008
Rod Strickland,-5.463398226680068,2005,-0.9478625993968899
Hasheem Thabeet,-1.6543642944535808,2011,-0.947800634890676
Wade Baldwin,-5.282570457629889,2017,-0.9474849960758835
Darius Miles,-7.666735559588405,2003,-0.9474239355615324
Darington Hobson,-2.6144863969758894,2012,-0.947355681508445
Spencer Dinwiddie,-1.9201430471664942,2015,-0.9470766332936656
Leon Powe,-5.533704876915628,2009,-0.9468262297163857
Christian Eyenga,-2.5855621025020192,2012,-0.9466015561165712
Marcus Camby,-2.8809985737074406,2013,-0.9458000839789223
Eric Bledsoe,-2.5491138379111655,2012,-0.9456512628659433
Jeff Foster,-5.331045183912645,2005,-0.945004255747295
Jeremy Evans,-2.522477681789661,2012,-0.9449567947021204
Jeffery Taylor,-3.8382514105410674,2014,-0.9446137152592332
Vander Blue,-1.797595459947104,2015,-0.9444401751731155
James Michael,-1.7737710340082016,2015,-0.9439276224361807
Brendan Haywood,-1.4743044213986138,2011,-0.9438112403511413
Derrick Byars,-2.4750614833897036,2012,-0.9437205412394185
Jerry Stackhouse,-5.382547234748449,2009,-0.9434931378059855
Malik Allen,-1.4544120137505607,2011,-0.9433705054938801
Sam Dekker,-5.4062466547381565,2018,-0.9428857886063736
John Amaechi,-7.5900851194043115,2002,-0.9427993508101339
Thomas Robinson,-3.74542280960481,2014,-0.9426650558202548
Nemanja Nedović,-3.694322980848753,2014,-0.9415923674178514
Grant Jerrett,-1.6447138691761158,2015,-0.9411511188920709
Will Conroy,-2.6502542106763216,2013,-0.9409091401182139
Terry Rozier,-3.189518946025502,2016,-0.9406839388400311
Maurice Ager,-5.253841478015119,2009,-0.9406551197578119
Ömer Aşık,-3.177188528939119,2016,-0.9404324790352846
Kevon Looney,-4.901954902677459,2017,-0.9398184935807454
Dominic McGuire,-1.2928894881431798,2011,-0.9397918231881716
Darius Morris,-1.5781316032388393,2015,-0.9397186846867308
Rudy Gobert,-4.892667668246881,2017,-0.9396314265914736
Travis Knight,-6.683892632800389,2001,-0.9392294452855713
Ruben Patterson,-5.076085974448391,2004,-0.9391637313095682
Victor Claver,-3.5659883946776407,2014,-0.9388983657829302
Archie Goodwin,-3.552436268103051,2014,-0.9386138793304636
Byron Mullens,-1.2380366101066322,2011,-0.9385765064804341
Mike Sweetney,-5.7769059965910285,2007,-0.938038476403279
Zoran Dragić,-1.4843034941131372,2015,-0.9377000902300527
Gary Harris,-1.4747837762892253,2015,-0.9374952854033592
Zhou Qi,-5.145432474831787,2018,-0.937479341700776
Bernard James,-1.468326714824355,2015,-0.9373563697990603
Nate Wolters,-1.4440586296803073,2015,-0.9368342722890237
Bobby Simmons,-1.156669596523581,2011,-0.9367737443537086
Lazar Hayward,-2.45246708681196,2013,-0.9367167702311057
Samardo Samuels,-2.4504762313538033,2013,-0.9366745713138593
Quincy Miller,-1.4362585389089153,2015,-0.9366664630883542
Andrei Kirilenko,-7.275551016307091,2002,-0.9366390313268241
Drew Gooden,-2.434535869405799,2013,-0.9363366934373084
Jerry Stackhouse,-1.104966446311104,2011,-0.9356282128055917
Awvee Storey,-5.309218832947588,2008,-0.9355108065667117
Zaza Pachulia,-4.873595730873565,2004,-0.9350713348978742
Joe Smith,-1.071244179279292,2011,-0.9348810645061125
Bernard Robinson,-5.631712428689578,2007,-0.9348364128095983
JaKarr Sampson,-2.8962111882989845,2016,-0.9347023803110808
Jamaal Tinsley,-3.3485625628701094,2014,-0.9343341593297877
Reggie Evans,-2.0899082142829126,2012,-0.9336786762508362
Tyler Honeycutt,-2.2979146308311185,2013,-0.9334408185423748
Spencer Dinwiddie,-2.8216043982129193,2016,-0.9331808901022435
Michael Kidd-Gilchrist,-2.2689540442415845,2013,-0.9328269591123028
Ryan Bowen,-4.7565912465711335,2004,-0.9327066346374664
Josh Childress,-0.9711908078734997,2011,-0.9326642886816263
Darko Miličić,-4.747169698126588,2004,-0.9325162219520632
Ronnie Price,-0.9478162913510637,2011,-0.9321464044523601
Ben Wallace,-4.853165056953376,2009,-0.9318200299893965
Theo Ratliff,-0.9312318070471692,2011,-0.9317789597241125
Theron Smith,-4.704496244239648,2005,-0.9314730807517815
Joakim Noah,-2.734757680114331,2016,-0.9314097854735063
Othyus Jeffers,-0.9109966260337601,2011,-0.9313306304030274
Darius Miller,-1.1717340983042854,2015,-0.9309755504776674
Andrés Nocioni,-1.9780252147014181,2012,-0.9307616194154612
DeSagana Diop,-0.8846859385663914,2011,-0.9307476925661131
Josh McRoberts,-1.9709552107796269,2012,-0.9305772875389176
Rondae Hollis-Jefferson,-4.441423414295807,2017,-0.9305422941221896
Brendan Haywood,-6.9465831655299555,2002,-0.9301960191365101
Drew Gordon,-1.1320767750681908,2015,-0.9301223727508968
Ryan Bowen,-9.032539289736098,2006,-0.9300403494859112
Ben Uzoh,-1.9314564920225665,2012,-0.9295474616675178
Mamadou N'Diaye,-4.587709621843272,2004,-0.9292934797968384
Nazr Mohammed,-1.090414390746535,2015,-0.9292260586417527
Georges Niang,-4.336641841634244,2017,-0.9284317440466554
Bruno Caboclo,-2.5886273514527613,2016,-0.928429683206457
Marquis Teague,-3.0670583628507293,2014,-0.9284248187715208
Miles Plumlee,-2.0568575272701257,2013,-0.9283312819744856
Vladimir Radmanović,-2.024855087880912,2013,-0.9276529462942452
Dominique Jones,-2.019406735051761,2013,-0.927537460968967
Martell Webster,-0.9925848696414832,2015,-0.9271213788092137
Larry Sanders,-3.0025672622697646,2014,-0.9270710205820653
Seth Curry,-0.9891056311442349,2015,-0.9270465273429586
Ronald Dupree,-0.710517115904512,2011,-0.9268888197462241
Quincy Pondexter,-4.617122625261103,2018,-0.9265279465257377
Cole Aldrich,-0.6712999279535352,2011,-0.9260199263453063
Salah Mejri,-2.4703154894401482,2016,-0.926016895584394
Jason Collins,-1.7866871786238492,2012,-0.9257729801396546
Lucas Nogueira,-0.9292759128714523,2015,-0.9257593657580625
Patrick Christopher,-0.9177287876218557,2015,-0.9255109437954268
Toure' Murry,-0.9150080747336132,2015,-0.925452411059282
Daniel Orton,-1.9086855718418785,2013,-0.9251905737629778
Malcolm Lee,-1.7623664177927956,2012,-0.9251388798573139
Zaza Pachulia,-0.6290848321999167,2011,-0.9250846114990383
Fabricio Oberto,-0.6240364534133742,2011,-0.9249727599553111
